Segment_A,Segment_B,Correct_Answer,Segment_A_Start_Ind,Segment_B_Start_Ind
I'd come in and she would start the tea. It was,That is essentially what a species is. Now this isn't something,A,1153,1421
"I said ""Well what is that?"" She called it ""cry hurt",Yes yeah yeah. And lying we should also say is another,A,907,927
Yeah you're only sexually attracted to your own kind. That is,Yeah it became a routine. I'd come in and she would,B,1412,1148
It was like a game. She learned some two-hundred-fifty signs and,Like for instance every time she would walk in the house,A,783,1098
And a radish uh had gotten quite old and one day,Like for instance every time she would walk in the house,A,861,1098
So it wasn't weaned. No and that was part of the,In a later session when shown a piece of watermelon Lucy,A,335,841
If Jane is distressed Temerlin's wife Lucy notices it immediately and,If Jane is sick Lucy would exhibit tender protectiveness toward her,A,1269,1294
Yeah hold on. It's called Lucy: Growing Up Human; A Chimpanzee,She began to dress herself in skirts. She would often grab,A,56,429
Forks spoons knives. She would see us using silverware and immediately,She began to dress herself in skirts. She would often grab,A,415,429
Wow. She says they brought this male chimp in to see,She would also lie to me. Really. Yes yeah yeah. And,B,1479,920
Yeah it became a routine. I'd come in and she would,It was the casualness with which she did it the kind,A,1148,1162
This is Sue. Sue Savage-Rumbaugh. The grad student of yours who,You know he really went at this with this sort of,B,1053,465
Sue? Yes. This is Sue. Sue Savage-Rumbaugh. The grad student of,Lucy had developed an awareness of our emotions. If Jane is,A,1051,1261
Right in between this great divide that I knew was there,She says they brought this male chimp in to see if,B,1550,1480
Maurice Temerlin actually died in nineteen-eighty-nine but these are his words,No and that was part of the experiment. They bottle feed,A,179,339
This is just the way it is yeah. I was there,And was she? I well the male chimpanzee would sit there,A,1441,1497
He wanted to know given the right upbringing how human could,And put them together in a new original way. And there's,A,130,813
Had Lucy ever seen another chimpanzee before? Never seen another chimpanzee,If Jane is distressed Temerlin's wife Lucy notices it immediately and,B,1463,1269
It was then says Sue that she realized that in every,If Jane is sick Lucy would exhibit tender protectiveness toward her,B,1527,1294
(cat) We’d read books together and or we’d go for walks,"I said ""Well what is that?"" She called it ""cry hurt",A,746,907
(candy) I would work on signs. (cat) We’d read books together,The grad student of yours who says she didn't actually see,A,740,1058
"She called it ""cry hurt food"". Wow. She would also lie",Lucy had developed an awareness of our emotions. If Jane is,A,913,1261
Rebellious? Intelligent or stupid? What about sex? Maurice Temerlin actually died,The next phase of the experiment which occupies a good deal,A,172,532
Really. Yes yeah yeah. And lying we should also say is,"and she said ""Sue."" Who's Sue? Sue was one of uh",A,926,999
So the baby was a day or two old. Just two,They bottle feed her? Yeah. She quickly learned to hold her,A,322,347
Sue was one of uh one of my students that would,It was the casualness with which she did it the kind,A,1005,1162
Can you introduce yourself please? Okay my name is Roger Fouts,If Jane is sick Lucy would exhibit tender protectiveness toward her,A,565,1294
"and she said ""Sue."" Who's Sue? Sue was one of uh",Yes. This is Sue. Sue Savage-Rumbaugh. The grad student of yours,A,999,1052
Right (berry) yeah yeah yeah so I was sort of like,(cry dirty) And he says that Lucy (enough) just sort of,A,701,765
Right. And at the time he was the guy he'd just,She learned some two-hundred-fifty signs and the big question is okay,A,614,788
